event_id,sample_id,published_at,primary_entity,event_type,direction,event_summary,evidence_excerpt,duplicate_event_key
EVT-001,EX39-0009,2026-08-18 01:55:00,寒武纪,CAPITAL_ALLOCATION,AMBIGUOUS,员工限制性股票完成归属登记,宇树科技将于8月19日科创板上市,寒武纪|CAPITAL_ALLOCATION|20260817
EVT-002,EX39-0017,2026-08-18 01:56:00,上海合晶,CAPITAL_ALLOCATION,NEGATIVE,董事及高级管理人员披露减持计划,天博智能科技(山东)股份有限公司首次公开发行股票并在主板上市招股意向书提示性公告,上海合晶|CAPITAL_ALLOCATION|20260818
EVT-003,EX39-0033,2026-08-18 02:15:00,瑞芯微,EARNINGS_CHANGE,POSITIVE,上半年收入和利润增长,烟台亚通精工机械股份有限公司关于使用暂时闲置募集资金进行现金管理到期赎回的公告,瑞芯微|EARNINGS_CHANGE|2026H1
EVT-004,EX39-0033,2026-08-18 02:15:00,半导体供应链,SUPPLY_DISRUPTION,NEGATIVE,存储和多类上游材料供应承压,烟台亚通精工机械股份有限公司关于使用暂时闲置募集资金进行现金管理到期赎回的公告,半导体供应链|SUPPLY_DISRUPTION|2026H1
EVT-005,EX39-0035,2026-08-18 02:15:00,复旦微电,EARNINGS_CHANGE,POSITIVE,上半年利润同比大幅增长,硬科技重构A股估值逻辑 长鑫科技总市值突破4万亿元,复旦微电|EARNINGS_CHANGE|2026H1
EVT-006,EX39-0035,2026-08-18 02:15:00,复旦微电,PRODUCT_RELEASE,POSITIVE,发布FPGA IP、解决方案及Agent开发平台,硬科技重构A股估值逻辑 长鑫科技总市值突破4万亿元,复旦微电|PRODUCT_RELEASE|2026H1
EVT-007,EX39-0037,2026-08-18 02:15:00,PCB产业链,INDUSTRY_DATA,POSITIVE,多家产业链公司业绩增长且高端产品供需偏紧,发力AI创新领域 复旦微电上半年净利同比增三倍多,PCB产业链|INDUSTRY_DATA|2026H1
EVT-008,EX39-0043,2026-08-18 02:15:00,CMP材料,INDUSTRY_DATA,POSITIVE,先进制程和存储升级增加CMP工序及材料需求,佳禾食品工业股份有限公司关于使用部分暂时闲置募集资金进行现金管理到期赎回的公告,CMP材料|INDUSTRY_DATA|20260818
EVT-009,EX39-0093,2026-08-18 07:21:00,芯原股份,ORDER_DEMAND,POSITIVE,AI算力订单占新签订单九成,AI算力订单占比升至九成 芯原股份上半年营收近翻倍但亏损持续｜财报解读,芯原股份|ORDER_DEMAND|20260817
EVT-010,EX39-0093,2026-08-18 07:21:00,芯原股份,EARNINGS_CHANGE,NEGATIVE,上半年收入增长但仍持续亏损,AI算力订单占比升至九成 芯原股份上半年营收近翻倍但亏损持续｜财报解读,芯原股份|EARNINGS_CHANGE|2026H1
EVT-011,EX39-0098,2026-08-18 07:29:00,磷化铟基板,PRICE_CHANGE,POSITIVE,供不应求推动第四季度价格继续上涨,12天11板大牛股，今起复牌！磷化铟基板价格飙涨，多股业绩向好,磷化铟基板|PRICE_CHANGE|2026Q4
EVT-012,EX39-0103,2026-08-18 07:39:00,海光信息,EARNINGS_CHANGE,POSITIVE,上半年收入和利润创同期新高,天力锂能涉信披违规被立案更正3份年报 三年亏11.6亿实控方质押率50.6%股权流拍,海光信息|EARNINGS_CHANGE|2026H1
EVT-013,EX39-0103,2026-08-18 07:39:00,海光信息,CAPITAL_ALLOCATION,AMBIGUOUS,为保障供应扩大存货和预付款,天力锂能涉信披违规被立案更正3份年报 三年亏11.6亿实控方质押率50.6%股权流拍,海光信息|CAPITAL_ALLOCATION|2026H1
EVT-014,EX39-0105,2026-08-18 07:39:00,富乐德,CAPEX,POSITIVE,拟募资建设半导体洗净、修复和载板项目,四大证券报头版头条内容精华摘要_2026年8月18日_财经新闻,富乐德|CAPEX|20260818
EVT-015,EX39-0105,2026-08-18 07:39:00,富乐德,EARNINGS_CHANGE,POSITIVE,上半年利润预计增长,四大证券报头版头条内容精华摘要_2026年8月18日_财经新闻,富乐德|EARNINGS_CHANGE|2026H1
EVT-016,EX39-0107,2026-08-18 07:39:00,中际旭创,M_AND_A,POSITIVE,入股散热和PCB企业以强化AI光模块供应链,永和股份半年归母净利5.13亿创新高 加速产能扩张22亿可转债发行获受理,中际旭创|M_AND_A|20260818
EVT-017,EX39-0155,2026-08-18 10:33:00,芯原股份,ORDER_DEMAND,POSITIVE,AI算力订单占新签订单九成,上半年亏损超6亿，芯原股份亟待百亿AI订单扭转局面,芯原股份|ORDER_DEMAND|20260817
EVT-018,EX39-0155,2026-08-18 10:33:00,芯原股份,EARNINGS_CHANGE,NEGATIVE,上半年收入增长但仍持续亏损,上半年亏损超6亿，芯原股份亟待百亿AI订单扭转局面,芯原股份|EARNINGS_CHANGE|2026H1
