sample_id,relevance,review_evidence_excerpt,review_reason
EX38-001,NOT_CATALYST,不卷模型卷大脑系统！国内首次，机器人一镜到底全自主干完家务,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-002,NOT_CATALYST,耐普矿机：海外订单取得高速增长 在手订单目前已排产到7月份,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-003,CATALYST_RELEVANT,科创板首份三季报出炉！海光信息Q3营收、归母净利双双创新高,DIRECT_FROZEN_SCOPE_FACT
EX38-004,NOT_CATALYST,诺禾致源延续增收不增利困局,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-005,NOT_CATALYST,衢州东峰：预计2026年上半年亏损3500万至7000万元,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-006,NOT_CATALYST,挥别“垃圾股”！A股退市新规威力初显，70余只ST股票同日跌停,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-007,NOT_CATALYST,芭田股份去年净利4.09亿  粮食安全战略下磷矿产能扩张受益,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-008,CATALYST_RELEVANT,中科飞测上市第二年迎来首亏 豪赌研发与产能押注长期成长,DIRECT_FROZEN_SCOPE_FACT
EX38-009,CATALYST_RELEVANT,重大资产重组！4倍牛股精测电子加码半导体，明起复牌,DIRECT_FROZEN_SCOPE_FACT
EX38-010,CATALYST_RELEVANT,晶盛机电：12英寸碳化硅衬底送样验证 8英寸斩获海内外批量订单,DIRECT_FROZEN_SCOPE_FACT
EX38-011,NOT_CATALYST,太意外！最新IPO配售黑名单公布，葛卫东旗下混沌天成两产品上榜，什么情况？一大型量化私募放弃打新策略,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-012,NOT_CATALYST,宏川智慧临时股东会通过两项议案 最高同意率98.86%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-013,NOT_CATALYST,需求转暖订单再创新高 杰瑞股份去年增收却未增利,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-014,NOT_CATALYST,长鑫科技上市在即，战略配售名单来了,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-015,NOT_CATALYST,天娱数科董事会完成换届 ，将持续推进数字化、智能化、全球化战略,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-016,NOT_CATALYST,鹿山新材实控人套现1.04亿 扣非连亏3年A股共募11亿,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-017,NOT_CATALYST,3月PPI同比增速转正，A500ETF华夏（512050）布局机会备受关注，博瑞医药20cm涨停,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-018,NOT_CATALYST,8.66元/股，长鑫科技发行价确定,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-019,NOT_CATALYST,华中数控净利大增 推动国内数控机床行业智能化发展,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-020,CATALYST_RELEVANT,产品和客户结构持续优化 佰维存储预计上半年净利润70亿元至75亿元,DIRECT_FROZEN_SCOPE_FACT
EX38-021,NOT_CATALYST,旅游股发布一季度业绩预告 普遍好于去年同期,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-022,CATALYST_RELEVANT,帝科股份：3亿现金收购江苏晶凯62.5%股权  抢占AI时代存储产业机遇,DIRECT_FROZEN_SCOPE_FACT
EX38-023,NOT_CATALYST,回调结束？中际旭创反弹2%终结五连跌，创业板人工智能涨逾1%！算力需求旺盛，光模块高增长仍可期,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-024,NOT_CATALYST,科创板“分红之王”来了 这些公司具有高分红传统,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-025,NOT_CATALYST,北部湾港集团与海南港航交流座谈并签署战略合作协议,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-026,NOT_CATALYST,15连板天普股份明日复牌 收购方中昊芯英确认启动独立IPO工作|速读公告,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-027,CATALYST_RELEVANT,横店东磁2025年度业绩说明会：计提资产减值准备致当年四季度净利下跌，芯片电感已实现规模化量产且收入增速较高,DIRECT_FROZEN_SCOPE_FACT
EX38-028,NOT_CATALYST,“芯片危机”间接影响福耀玻璃一季度业绩 转机或于三季度出现,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-029,NOT_CATALYST,公告精选 | 佰维存储净利预增超32倍 中国巨石拟斥资24亿扩产电子布,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-030,NOT_CATALYST,直击当升科技业绩说明会：2025年营收破百亿元，四大战略锚定2026新发展,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-031,NOT_CATALYST,热景生物股价严重异动：无未披露的重大信息,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-032,CATALYST_RELEVANT,“1T硬盘价格都翻倍了” 存储涨价潮持续，龙头江波龙遭“杀跌”：高管已减持、现金流告急，谁在出逃？,DIRECT_FROZEN_SCOPE_FACT
EX38-033,NOT_CATALYST,蒿慧杰会见中国铁建投资集团有限公司党委书记、董事长李卫华一行,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-034,NOT_CATALYST,上汽通用五菱回应疫情影响：通过各基地、生产线和产品品种的柔性调整应对,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-035,NOT_CATALYST,港交所：许家印持有权益的中国恒大股份数目发生5亿股变动 持股比例变为76.69%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-036,NOT_CATALYST,金螳螂：建筑装饰需求永恒，转型发展把握新机遇驱动增长,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-037,NOT_CATALYST,东方通深陷财务造假风波背后：募资项目大幅延期，审计团队“大换血”,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-038,NOT_CATALYST,创新层进层正式名单出炉：40家调入，部分正冲刺北交所,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-039,NOT_CATALYST,凤凰光学妖风不再,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-040,NOT_CATALYST,借壳上市7年一地鸡毛 景峰医药叶湘武欲金蝉脱壳？,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-041,NOT_CATALYST,双杰电气2024年净利润降21.8% 经营现金流净额降413.2%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-042,NOT_CATALYST,万华化学：2025年一季度净利润30.82亿元,OUTSIDE_FROZEN_EVENT_SCOPE
