descriptor,family,formula,history_basis
close_to_ma20,trend_geometry,C/MA20-1,daily
ma20_slope5,trend_geometry,MA20_t/MA20_t-5-1,daily
ma10_ma20_spread,trend_geometry,MA10/MA20-1,daily
drawdown_from_high20,trend_geometry,"C/max(H,20)-1",daily
close_location20,trend_geometry,"(C-min(L,20))/(max(H,20)-min(L,20))",daily
return5,trend_geometry,C/C_t-5-1,daily
return10,trend_geometry,C/C_t-10-1,daily
prior_low10_buffer,trend_geometry,C/min(L_t-10:t-1)-1,daily
atr5_to_atr20,pullback_energy,ATR5/ATR20,daily
tr_to_atr20,pullback_energy,TR/ATR20,daily
realized_vol5_to20,pullback_energy,"sample_std(ret,5)/sample_std(ret,20)",daily
downside_semivol5_to20,pullback_energy,"rms(min(ret,0),5)/rms(min(ret,0),20)",daily
negative_day_share5,pullback_energy,"count(ret<0,5)/5",daily
max_drawdown5_to_atr20,pullback_energy,max_close_drawdown(5)/(ATR20/C),daily
daily_close_location,pullback_energy,(C-L)/(H-L),daily
gap_abs_to_atr20,pullback_energy,abs(O/C_t-1-1)/(ATR20/C_t-1),daily
volume5_to20,price_volume_structure,"mean(V,5)/mean(V,20)",daily
volume_t_to20,price_volume_structure,"V/mean(V,20)",daily
down_up_volume_ratio10,price_volume_structure,"mean(V|ret<0,10)/mean(V|ret>0,10)",daily
signed_volume_imbalance5,price_volume_structure,"sum(sign(ret)*V,5)/sum(V,5)",daily
signed_volume_imbalance10,price_volume_structure,"sum(sign(ret)*V,10)/sum(V,10)",daily
return_volume_corr10,price_volume_structure,"corr(ret,log1p(V),10)",daily
log_volume_slope5,price_volume_structure,"ols_slope(log1p(V),0:4)",daily
intraday_down_volume_share,intraday_weekly_structure,sum(30m_V|30m_ret<0)/sum(30m_V),daily
intraday_realized_vol_to20,intraday_weekly_structure,sqrt(sum(30m_ret^2))/median(prior20),daily
intraday_close_location,intraday_weekly_structure,(day_C-day_L)/(day_H-day_L),daily
last4_30m_return,intraday_weekly_structure,last_C/first_O_of_last4-1,daily
weekly_close_to_ma10,intraday_weekly_structure,completed_week_C/completed_week_MA10-1,weekly
