sample_id,gold_relevance,review_evidence_excerpt,review_reason,predicted_relevance,review_reason_predicted,relevance_evidence
EX39-C3113D4C29A0,NOT_CATALYST,宁德时代宜春锂矿项目复产迎重要进展,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为宁德时代（300750）宜春枧下窝锂矿复产环评进展，宁德时代不在科创50ETF重要成分名单中，事件属于锂矿/碳酸锂供给，与科创50核心暴露（半导体制造、设备、材料、AI芯片算力）无直接供需或制度影响，也不涉及科创板或588080资金制度环境。,
EX39-AD65D9250FC0,NOT_CATALYST,宇树科技将于8月19日科创板上市,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为宇树科技（688836）科创板IPO上市，宇树科技不属于research_scope给出的重要成分名单，且事件为一家非重要成分公司在科创板上市，属于明确排除项；文中未涉及科创50指数、588080产品或半导体/AI芯片算力等核心暴露的直接供需、政策或技术事实。,宇树科技（688836）披露首次公开发行股票科创板上市公告书。根据相关公告，宇树科技股票将于2026年8月19日（即本周三）在上海证券交易所科创板上市。
EX39-145A94F75F69,NOT_CATALYST,百万欠款发酵成连环诉讼 云煤能源财务风险持续积累,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主体为云煤能源（600792）的诉讼、停产与财务风险，属于焦化行业公司，未涉及科创50指数、科创板或588080，也未涉及任何重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，因此不满足研究范围。,一桩仅117.05万元的煤炭购销货款纠纷，演变成云煤能源（600792）连环司法风波
EX39-F7DBEB68B16E,NOT_CATALYST,追加投资离型膜产能 洁美科技抢抓MLCC风口,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为洁美科技（002859），不属于research_scope给出的重要成分名单，且事件为MLCC离型膜产能追加投资，与科创50核心暴露（半导体制造、设备、材料、AI芯片和算力）无直接供需或制度影响，属于泛科技/泛先进制造关联，不满足研究范围。,追加投资离型膜产能 洁美科技抢抓MLCC风口
EX39-45F4ADF40BBE,NOT_CATALYST,需求端强劲拉动 锂电隔膜行业龙头密集报喜,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主题为锂电隔膜行业景气回暖及恩捷股份、中材科技、沧州明珠、佛塑科技、星源材质等公司业绩与产能动态。研究范围重要成分名单中不含上述任何公司，且隔膜行业与科创50核心暴露（半导体制造、设备、材料、AI芯片算力）无直接供需或制度关联，属于泛新能源材料行业新闻，不满足相关性定义。,
EX39-2BC0E44987D3,CATALYST_RELEVANT,上海合晶硅材料股份有限公司董事及高级管理人员减持股份计划公告,DIRECT_SCOPE_FACT,NOT_CATALYST,新闻主体为上海合晶硅材料股份有限公司董事及高管减持股份计划公告。上海合晶不在research_scope给出的重要成分名单中，且该减持公告不涉及科创50指数、科创板资金制度环境或半导体制造/设备/材料/AI芯片算力的直接供需、价格、政策、制裁或技术事实，属于与研究标的无关的常规公司公告，故不满足研究范围。,上海合晶硅材料股份有限公司董事及高级管理人员减持股份计划公告
EX39-1BDEBFADD8DA,NOT_CATALYST,北京机器人4S店新“员工”上岗 营业额已超6000万元,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主题为北京亦庄机器人4S店新机器人入驻及营业额、机器人供应链平台等泛机器人产业活动，未涉及科创50指数、科创板或588080的制度/资金/产品事件，也未涉及任何重要成分公司的业绩、订单、产能、产品、技术、并购、融资或供应链事实，且不属于半导体制造、设备、材料、AI芯片和算力的直接供需、价格、政策、制裁或技术事实，故不满足研究范围。,近日，全球首家具身智能机器人4S店新“员工”上岗了，不仅有会川剧变脸的“非遗传人”，还有“摇滚歌星”。
EX39-46197F85D91B,NOT_CATALYST,天博智能科技(山东)股份有限公司首次公开发行股票并在主板上市招股意向书提示性公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为天博智能科技(山东)股份有限公司，其首次公开发行股票并在主板上市，不属于科创板，也不在科创50重要成分公司名单中；事件与半导体、AI芯片和算力的直接供需无关，属于与研究标的无关的常规IPO公告，符合exclude条款。,天博智能科技(山东)股份有限公司首次公开发行股票并在主板上市招股意向书提示性公告
EX39-CC84A5719D3E,NOT_CATALYST,山东高速路桥集团股份有限公司第十届董事会第二十九次会议决议公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻为山东高速路桥集团股份有限公司董事会专门委员会人员调整公告，主体为高速公路基建类公司，不属于科创50指数重要成分公司，也未涉及半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，与588080.SH研究范围无关。,山东高速路桥集团股份有限公司第十届董事会第二十九次会议决议公告
EX39-CC115D347DFB,NOT_CATALYST,苏州市贝特利高分子材料股份有限公司首次公开发行股票并在创业板上市发行公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻为苏州市贝特利高分子材料股份有限公司在创业板首次公开发行股票的发行公告，主体为创业板IPO公司，不属于科创板或科创50ETF相关制度、资金、产品事件，也不涉及任何科创50重要成分公司或半导体、AI芯片、算力等核心暴露的直接供需、价格、政策、制裁或技术事实，因此不满足研究范围。,苏州市贝特利高分子材料股份有限公司首次公开发行股票并在创业板上市发行公告
EX39-34EE5C6516BB,NOT_CATALYST,苏州市贝特利高分子材料股份有限公司首次公开发行股票并在创业板上市投资风险特别公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为苏州市贝特利高分子材料股份有限公司在创业板IPO的投资风险特别公告，属于非重要成分公司在创业板上市融资的常规公告，未涉及科创50指数、科创板制度资金事件，也未涉及任何重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，按exclude规则不构成催化剂。,苏州市贝特利高分子材料股份有限公司首次公开发行股票并在创业板上市投资风险特别公告
EX39-99B5913C3933,NOT_CATALYST,上纬新材上半年亏损1.67亿元 仍推出股权激励“押注”新业务,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体上纬新材（688585）不在科创50ETF重要成分名单中，其半年报亏损、股权激励及消费级具身智能机器人新业务均与科创50核心暴露（半导体制造、设备、材料、AI芯片和算力）无直接供需或制度影响，属于泛机器人关联，不满足研究范围。,公开资料显示，上纬新材主营环保高性能耐腐蚀材料、风电叶片用材料、新型复合材料及循环经济材料的研发、生产与销售。公司控制权变更后布局消费级具身智能机器人业务
EX39-E109CC58A865,NOT_CATALYST,先锋电子上半年营收增长超两成,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主体为先锋电子（002767.SZ）2026年半年度报告，该公司不在科创50ETF重要成分名单中，且其燃气表业务与半导体、AI芯片、算力等科创50核心暴露无直接供需或制度关联，不满足研究范围。,近日，杭州先锋电子技术股份有限公司（简称“先锋电子”，002767.SZ）发布了其2026年半年度报告。
EX39-8D18DFC52376,NOT_CATALYST,天力锂能更正三份年报 此前被中国证监会立案,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为创业板公司天力锂能（SZ301152）的会计差错更正、关联方资金占用及证监会立案事项，不属于科创50指数、科创板或588080相关制度/资金/产品事件，也不涉及重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实。,8月16日，A股上市公司天力锂能（SZ301152）披露《关于前期会计差错更正的公告》，宣布对2023年度、2024年度、2025年度合并财务报表及母公司财务报表进行追溯更正
EX39-4082D7BBDD35,NOT_CATALYST,数百份年报问询函穿透式问诊 A股上市公司信披合规走深走实,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章为A股年报问询函监管综述，仅泛泛提及科创板被问询公司数量与行业分布，未涉及科创50ETF重要成分公司（如中芯国际、海光信息、寒武纪等）的具体新增事实，也未改变半导体、AI芯片和算力的直接供需或科创板资金制度环境，属于泛化监管盘点，不满足研究范围。,从板块分布看，2026年以来，沪市公司是年报问询函的主要接收方。据不完全统计，438家被问询上市公司中，上交所主板201家、科创板138家，深交所主板39家、创业板9家，北交所51家。
