kind,id,name,information_family,status,provider,version
factor,F-PROJECT-STRUCTURED-NEWS-EVENT,结构化新闻事件,EVENT_CATALYST,READY,tushare+maas+project,1
factor,F-PROJECT-EARNINGS-ACCELERATION-BREADTH,重要成分盈利加速度宽度,FUNDAMENTAL_EXPECTATION,DISCOVERED,tushare+experiment,1
factor,F-PROJECT-ETF-SHARE-CHANGE,ETF份额变化,FUND_FLOW,DISCOVERED,tushare+experiment,1
factor,F-PROJECT-MONEYFLOW-BREADTH,成分资金流宽度,FUND_FLOW,READY,tushare+project,1
signal,SIG-PROJECT-MONEYFLOW-BREADTH,成分资金流宽度事件,FUND_FLOW,READY,project,1
factor,F-PROJECT-BREADTH-BALANCE,成分涨跌宽度,MARKET_BREADTH,READY,tushare+project,1
factor,F-PROJECT-BREADTH-THRUST-5,五日宽度推动,MARKET_BREADTH,READY,project,1
signal,SIG-PROJECT-BREADTH-THRUST,成分宽度推动,MARKET_BREADTH,READY,project,1
factor,F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,首小时路径效率,MARKET_MICROSTRUCTURE,READY,project,1
factor,F-PROJECT-SIGNED-VOLUME-IMBALANCE,首小时有向成交量失衡,MARKET_MICROSTRUCTURE,READY,project,1
factor,F-PROJECT-ETF-NAV-PREMIUM,ETF净值折溢价,POSITION_VALUATION,DISCOVERED,tushare+experiment,1
factor,F-PROJECT-FIRST-HOUR-VWAP-DEVIATION,首小时VWAP偏离,POSITION_VALUATION,READY,project,1
factor,F-PROJECT-FIRST-HOUR-RETURN,首小时收益,TREND_MOMENTUM,READY,project,1
factor,F-PROJECT-ER60,60日效率比,TREND_REGIME,READY,project,1
signal,SIG-PROJECT-ER60-REGIME,ER60市场环境,TREND_REGIME,READY,project,1
factor,F-PROJECT-FIRST-HOUR-ACTIVITY,首小时异常活跃度,VOLUME_LIQUIDITY,READY,project,1
