factor_id,name,information_family,catalog_status,observations,numeric_observations,first_usable_date,last_usable_date,session_coverage_within_span,median_calendar_gap_days,distinct_numeric_values,independent_from_target_ohlcv,prior_s005_evidence
F-PROJECT-ER60,60日效率比,TREND_REGIME,READY,1347,1347,2021-02-10,2026-09-02,1.0,1.0,1329,False,S001 regime component; not an independent S005 alpha
F-PROJECT-FIRST-HOUR-RETURN,首小时收益,TREND_MOMENTUM,READY,1408,1408,2020-11-16,2026-09-02,1.0,1.0,1297,False,not independently tested for S005
F-PROJECT-FIRST-HOUR-VWAP-DEVIATION,首小时VWAP偏离,POSITION_VALUATION,READY,1408,1408,2020-11-16,2026-09-02,1.0,1.0,1408,False,not independently tested for S005
F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,首小时路径效率,MARKET_MICROSTRUCTURE,READY,1408,1408,2020-11-16,2026-09-02,1.0,1.0,1354,False,not independently tested for S005
F-PROJECT-FIRST-HOUR-ACTIVITY,首小时异常活跃度,VOLUME_LIQUIDITY,READY,1388,1388,2020-12-14,2026-09-02,1.0,1.0,1388,False,not independently tested for S005
F-PROJECT-SIGNED-VOLUME-IMBALANCE,首小时有向成交量失衡,MARKET_MICROSTRUCTURE,READY,1408,1408,2020-11-16,2026-09-02,1.0,1.0,1408,False,not independently tested for S005
F-PROJECT-BREADTH-BALANCE,成分涨跌宽度,MARKET_BREADTH,READY,1353,1353,2021-02-02,2026-09-02,1.0,1.0,1343,True,EX21 standalone family failed return gates
F-PROJECT-BREADTH-THRUST-5,五日宽度推动,MARKET_BREADTH,READY,1349,1349,2021-02-08,2026-09-02,1.0,1.0,1349,True,EX21 standalone family failed return gates
F-PROJECT-MONEYFLOW-BREADTH,成分资金流宽度,FUND_FLOW,READY,1353,1353,2021-02-02,2026-09-02,1.0,1.0,1353,True,EX21 standalone family failed return gates
F-PROJECT-ETF-SHARE-CHANGE,ETF份额变化,FUND_FLOW,DISCOVERED,1372,1372,2021-01-06,2026-09-02,1.0,1.0,1359,True,EX28 standalone family failed return gates
F-PROJECT-ETF-NAV-PREMIUM,ETF净值折溢价,POSITION_VALUATION,DISCOVERED,1372,1372,2021-01-05,2026-09-02,0.9992716678805535,1.0,1286,True,EX33 standalone family failed return gates
F-PROJECT-EARNINGS-ACCELERATION-BREADTH,重要成分盈利加速度宽度,FUNDAMENTAL_EXPECTATION,DISCOVERED,205,205,2022-01-05,2026-08-31,0.18173758865248227,3.0,204,True,EX44 standalone mechanism failed density gate without reading returns
F-PROJECT-STRUCTURED-NEWS-EVENT,结构化新闻事件,EVENT_CATALYST,READY,86,0,2022-03-15,2026-08-18,0.011162790697674419,33.0,0,True,EX41 generic positive continuation failed; event data remains reusable
